,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,70.980000,70.530000,71.010000,69.550000,7984865,reg,False,V
1,2015-09-09T00:00:00Z,70.750000,69.600000,71.375000,69.430000,9022190,reg,False,V
2,2015-09-10T00:00:00Z,69.500000,70.230000,70.650000,69.460000,7244174,reg,False,V
3,2015-09-11T00:00:00Z,69.860000,70.760000,70.810000,69.457500,6452146,reg,False,V
4,2015-09-14T00:00:00Z,70.720000,70.010000,70.800000,69.615000,7059339,reg,False,V
5,2015-09-15T00:00:00Z,70.480000,70.510000,70.746700,69.510000,6962608,reg,False,V
6,2015-09-16T00:00:00Z,70.500000,70.990000,71.110000,70.050000,8207593,reg,False,V
7,2015-09-17T00:00:00Z,71.300000,70.960000,72.320000,70.500000,7663296,reg,False,V
8,2015-09-18T00:00:00Z,69.820000,69.790000,70.810000,69.710000,14508062,reg,False,V
9,2015-09-21T00:00:00Z,70.750000,70.780000,71.320000,70.220000,12756516,reg,False,V
10,2015-09-22T00:00:00Z,70.000000,70.250000,70.390000,69.310000,11394027,reg,False,V
11,2015-09-23T00:00:00Z,70.130000,70.950000,71.145000,69.900000,10655796,reg,False,V
12,2015-09-24T00:00:00Z,70.350000,70.240000,70.630000,69.640000,8406708,reg,False,V
13,2015-09-25T00:00:00Z,71.210000,70.690000,71.460000,70.210000,7756572,reg,False,V
14,2015-09-28T00:00:00Z,70.240000,67.200000,70.280000,67.030000,15261204,reg,False,V
15,2015-09-29T00:00:00Z,67.520000,68.530000,68.700000,67.200000,11326665,reg,False,V
16,2015-09-30T00:00:00Z,69.320000,69.660000,69.660000,68.260000,9309180,reg,False,V
17,2015-10-01T00:00:00Z,70.200000,69.990000,70.770000,68.980000,8679888,reg,False,V
18,2015-10-02T00:00:00Z,68.900000,70.670000,70.730000,68.360000,7460435,reg,False,V
19,2015-10-05T00:00:00Z,71.030000,72.230000,72.340000,70.920000,7286755,reg,False,V
20,2015-10-06T00:00:00Z,72.080000,72.080000,72.540000,71.830000,5782470,reg,False,V
21,2015-10-07T00:00:00Z,72.680000,73.220000,73.230000,72.450000,6273559,reg,False,V
22,2015-10-08T00:00:00Z,73.000100,73.900000,73.930000,72.830000,5713137,reg,False,V
23,2015-10-09T00:00:00Z,74.020000,73.980000,74.089900,73.400000,5947767,reg,False,V
24,2015-10-12T00:00:00Z,73.740000,74.990000,75.430000,73.670000,5586253,reg,False,V
25,2015-10-13T00:00:00Z,74.460000,75.000000,75.250000,74.150000,7439403,reg,False,V
26,2015-10-14T00:00:00Z,75.000000,74.200000,75.260000,73.720000,7568289,reg,False,V
27,2015-10-15T00:00:00Z,74.960000,75.340000,75.410000,74.580000,6856217,reg,False,V
28,2015-10-16T00:00:00Z,75.550000,76.000000,76.540000,74.790000,9117387,reg,False,V
29,2015-10-19T00:00:00Z,75.940000,76.990000,77.325000,75.930000,9952627,reg,False,V
30,2015-10-20T00:00:00Z,76.750000,76.280000,76.890000,75.930000,8148823,reg,False,V
31,2015-10-21T00:00:00Z,76.940000,75.460000,76.940000,75.310000,7323764,reg,False,V
32,2015-10-22T00:00:00Z,75.900000,76.420000,76.850000,75.640000,9093433,reg,False,V
33,2015-10-23T00:00:00Z,77.630000,77.070000,77.630000,74.950000,11971306,reg,False,V
34,2015-10-26T00:00:00Z,78.040000,78.180000,78.310000,77.090000,8019362,reg,False,V
35,2015-10-27T00:00:00Z,78.030000,77.520000,78.180000,77.055000,9527422,reg,False,V
36,2015-10-28T00:00:00Z,77.840000,78.870000,78.890000,77.440000,10850221,reg,False,V
37,2015-10-29T00:00:00Z,78.590000,78.510000,78.710000,77.930000,7648608,reg,False,V
38,2015-10-30T00:00:00Z,78.780000,77.580000,78.810000,77.560000,11186481,reg,False,V
39,2015-11-02T00:00:00Z,75.190000,75.220000,76.210000,74.530000,29965980,reg,False,V
40,2015-11-03T00:00:00Z,75.200000,77.900000,78.580000,74.810000,18899902,reg,False,V
41,2015-11-04T00:00:00Z,78.360000,78.350000,78.830000,77.900000,8640849,reg,False,V
42,2015-11-05T00:00:00Z,78.420000,79.260000,79.710000,78.420000,9392585,reg,False,V
43,2015-11-06T00:00:00Z,79.570000,78.750000,79.570000,78.320000,8221596,reg,False,V
44,2015-11-09T00:00:00Z,78.400000,78.040000,78.400000,77.290000,10157285,reg,False,V
45,2015-11-10T00:00:00Z,77.690000,79.480000,79.530000,77.610000,8440283,reg,False,V
46,2015-11-11T00:00:00Z,79.850000,79.180000,80.250000,79.170000,8024387,reg,False,V
47,2015-11-12T00:00:00Z,78.940000,78.310000,79.149500,78.140000,8939839,reg,False,V
48,2015-11-13T00:00:00Z,78.020000,78.110000,78.970000,77.770000,9913239,reg,False,V
49,2015-11-16T00:00:00Z,77.790000,78.900000,78.910000,77.580000,7804955,reg,False,V
50,2015-11-17T00:00:00Z,79.000000,78.830000,79.275000,78.470000,6942598,reg,False,V
