,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-08-13T00:00:00Z,6.550000,6.560000,6.600000,6.505000,850387,reg,False,NYMT
1,2015-08-14T00:00:00Z,6.550000,6.630000,6.630000,6.522800,738644,reg,False,NYMT
2,2015-08-17T00:00:00Z,6.620000,6.700000,6.760000,6.580000,864852,reg,False,NYMT
3,2015-08-18T00:00:00Z,6.710000,6.660000,6.720000,6.650000,574406,reg,False,NYMT
4,2015-08-19T00:00:00Z,6.660000,6.670000,6.710000,6.630100,691566,reg,False,NYMT
5,2015-08-20T00:00:00Z,6.680000,6.790000,6.900000,6.670000,2496500,reg,False,NYMT
6,2015-08-21T00:00:00Z,6.750000,6.620000,6.835000,6.620000,1460120,reg,False,NYMT
7,2015-08-24T00:00:00Z,6.260000,6.370000,6.495000,5.400000,2617411,reg,False,NYMT
8,2015-08-25T00:00:00Z,6.440000,6.400000,6.520000,6.350000,1677177,reg,False,NYMT
9,2015-08-26T00:00:00Z,6.500000,6.520000,6.550000,6.330000,2131476,reg,False,NYMT
10,2015-08-27T00:00:00Z,6.590000,6.600000,6.640000,6.500000,1251297,reg,False,NYMT
11,2015-08-28T00:00:00Z,6.630000,6.580000,6.640000,6.530000,817911,reg,False,NYMT
12,2015-08-31T00:00:00Z,6.550000,6.540000,6.590000,6.520000,767286,reg,False,NYMT
13,2015-09-01T00:00:00Z,6.500000,6.430000,6.530000,6.400000,862956,reg,False,NYMT
14,2015-09-02T00:00:00Z,6.440000,6.440000,6.490000,6.400000,1135964,reg,False,NYMT
15,2015-09-03T00:00:00Z,6.470000,6.450000,6.500000,6.420000,589625,reg,False,NYMT
16,2015-09-04T00:00:00Z,6.410000,6.380000,6.450000,6.340000,483600,reg,False,NYMT
17,2015-09-08T00:00:00Z,6.390000,6.460000,6.480000,6.390000,657867,reg,False,NYMT
18,2015-09-09T00:00:00Z,6.540000,6.410000,6.550000,6.400000,701140,reg,False,NYMT
19,2015-09-10T00:00:00Z,6.410000,6.380000,6.420000,6.320000,848048,reg,False,NYMT
20,2015-09-11T00:00:00Z,6.350000,6.500000,6.500000,6.340000,948322,reg,False,NYMT
21,2015-09-14T00:00:00Z,6.660000,6.560000,6.700000,6.510000,827137,reg,False,NYMT
22,2015-09-15T00:00:00Z,6.550000,6.560000,6.580000,6.440000,1293549,reg,False,NYMT
23,2015-09-16T00:00:00Z,6.570000,6.560000,6.635000,6.530000,816155,reg,False,NYMT
24,2015-09-17T00:00:00Z,6.540000,6.660000,6.729900,6.500000,811479,reg,False,NYMT
25,2015-09-18T00:00:00Z,6.600000,6.680000,6.690000,6.570000,1582018,reg,False,NYMT
26,2015-09-21T00:00:00Z,6.540000,6.540000,6.580000,6.450000,2762030,reg,False,NYMT
27,2015-09-22T00:00:00Z,6.510000,6.610000,6.630000,6.470000,1589593,reg,False,NYMT
28,2015-09-23T00:00:00Z,6.600000,6.670000,6.710000,6.580000,1652814,reg,False,NYMT
29,2015-09-24T00:00:00Z,6.400000,6.340000,6.430000,6.260000,2022470,reg,False,NYMT
30,2015-09-25T00:00:00Z,6.340000,6.270000,6.360000,6.240000,2944831,reg,False,NYMT
31,2015-09-28T00:00:00Z,6.250000,5.860000,6.260000,5.810000,2803176,reg,False,NYMT
32,2015-09-29T00:00:00Z,5.820000,5.500000,5.850000,5.490000,3151535,reg,False,NYMT
33,2015-09-30T00:00:00Z,5.490000,5.490000,5.520000,5.310000,2899122,reg,False,NYMT
34,2015-10-01T00:00:00Z,5.500000,5.430000,5.580000,5.370000,2897509,reg,False,NYMT
35,2015-10-02T00:00:00Z,5.350000,5.430000,5.460000,5.350000,1356626,reg,False,NYMT
36,2015-10-05T00:00:00Z,5.430000,5.680000,5.690000,5.430000,1227227,reg,False,NYMT
37,2015-10-06T00:00:00Z,5.680000,5.700000,5.775000,5.665000,802195,reg,False,NYMT
38,2015-10-07T00:00:00Z,5.730000,5.790000,5.830000,5.710000,723813,reg,False,NYMT
39,2015-10-08T00:00:00Z,5.810000,5.870000,5.890000,5.790000,859542,reg,False,NYMT
40,2015-10-09T00:00:00Z,5.850000,5.860000,5.890000,5.800000,663216,reg,False,NYMT
41,2015-10-12T00:00:00Z,5.830000,5.820000,5.880000,5.800000,668281,reg,False,NYMT
42,2015-10-13T00:00:00Z,5.790000,5.650000,5.820100,5.650000,746678,reg,False,NYMT
43,2015-10-14T00:00:00Z,5.610000,5.580000,5.700000,5.565000,831004,reg,False,NYMT
44,2015-10-15T00:00:00Z,5.620000,5.680000,5.690000,5.500000,729111,reg,False,NYMT
45,2015-10-16T00:00:00Z,5.690000,5.680000,5.710000,5.620000,504577,reg,False,NYMT
46,2015-10-19T00:00:00Z,5.660000,5.710000,5.730000,5.650000,806633,reg,False,NYMT
47,2015-10-20T00:00:00Z,5.710000,5.830000,5.840000,5.670000,883584,reg,False,NYMT
